Country;Region;Year;Economy_status_Developed;Infant_deaths;Under_five_deaths;Alcohol_consumption;Hepatitis_B;Measles;Polio;Diphtheria;BMI;Incidents_HIV;GDP_per_capita;Population_mln;Thinness_ten_nineteen_years;Thinness_five_nine_years;Schooling;Life_expectancy;Hepatitis_B_alt;Measles_alt;Polio_alt;Diphtheria_alt
Japan;Asia;2000;Yes;3.3;4.5;7.96;83;86;98;85;22.5;0.17;31431;126.84;1.6;1.4;10.7;81.1;elevada;elevada;alta;elevada
Brazil;South America;2007;No;19.5;21.8;6.91;99;49;99;99;25.5;0.25;7937;190.13;3.1;3;6.5;72.6;alta;baixa;alta;alta
Saudi Arabia;Middle East;2002;No;16.7;19.6;0.056;97;96;95;95;27.6;0.13;16095;21.81;7.3;7.3;7;72.9;alta;alta;alta;alta
Mongolia;Asia;2011;No;20.6;24.4;6.65;99;98;99;99;25.6;0.02;3028;2.77;2.2;2.3;9.8;67.8;alta;alta;alta;alta
Dominican Republic;Central America and Caribbean;2011;No;28.8;35;5.47;80;83;84;84;26;0.49;5881;9.81;3.3;3.2;7.4;72.3;elevada;elevada;elevada;elevada
Brazil;South America;2014;No;14.6;16.3;6.91;96;89;96;93;26.3;0.24;9215;202.76;2.7;2.7;7.4;74.7;alta;elevada;alta;alta
Ukraine;Rest of Europe;2013;No;8.8;10.2;8.73;46;54;72;76;26.4;0.24;2466;45.49;2.3;2.4;11.3;71.2;baixa;moderada;elevada;elevada
Poland;European Union;2013;Yes;4.5;5.2;10.8;96;93;95;99;26.4;0.08;11656;38.04;2;2.1;12.1;77;alta;alta;alta;alta
Ukraine;Rest of Europe;2009;No;10.6;12.3;8.97;66;68;74;71;26.2;0.3;2215;46.05;2.5;2.6;11.3;69.2;moderada;moderada;elevada;elevada
Costa Rica;Central America and Caribbean;2003;No;10;11.8;4.05;86;86;88;88;26.1;0.14;8158;4.16;2.2;2.1;7.9;77.9;elevada;elevada;elevada;elevada
El Salvador;Central America and Caribbean;2000;No;27.4;33.2;2.65;99;79;98;99;26;0.41;2993;5.89;2.1;2;5.2;68.9;alta;elevada;alta;alta
Chad;Africa;2014;No;77.3;132.3;0.68;37;64;44;37;21.8;0.42;780;13.66;8.7;8.5;2.2;52.8;baixa;moderada;baixa;baixa
Tonga;Oceania;2007;No;12;14;2.05;87;99;99;87;31.7;0.17;3817;0.1;0.1;0.1;9.8;69.9;elevada;alta;alta;elevada
Somalia;Africa;2010;No;96.2;157.4;0;42;64;49;45;22.8;0.13;296;12.04;7;6.8;2.1;54;baixa;moderada;baixa;baixa
China;Asia;2015;No;8.3;10.7;5.66;99;99;99;99;23.7;0.1;8016;1379.86;3.6;2.9;7.7;75.9;alta;alta;alta;alta
Albania;Rest of Europe;2002;No;21.7;24.4;3.96;96;93;98;98;25.3;0.02;2247;3.05;2;2.1;9;74.6;alta;alta;alta;alta
Uruguay;South America;2007;No;11;12.6;6.51;94;92;94;94;26.4;0.2;11245;3.33;1.6;1.5;8.2;76.3;alta;alta;alta;alta
Russian Federation;Rest of Europe;2006;No;10.3;12.8;11.83;98;97;98;98;26;0.08;7950;143.05;2.4;2.7;11.4;66.7;alta;alta;alta;alta
Cyprus;European Union;2010;Yes;2.8;3.4;11.33;96;88;99;99;26.7;0.06;26020;1.11;0.9;1;11.5;79.4;alta;elevada;alta;alta
Eritrea;Africa;2015;No;34;46.3;1.03;95;88;95;95;20.7;0.1;9011;0.35;8.4;8.2;3.9;64.7;alta;elevada;alta;alta
Panama;Central America and Caribbean;2002;No;20.9;24.8;4.94;98;88;99;99;25.8;0.4;6881;3.15;2.3;2.2;8.7;75.4;alta;elevada;alta;alta
Bahamas;Central America and Caribbean;2001;No;14;16.4;11.38;90;83;98;99;26.8;0.9;36178;0.3;2.7;2.6;10.9;72;alta;elevada;alta;alta
Yemen Rep;Middle East;2007;No;50;65.6;0.05;79;95;79;79;23;0.02;2555;21.28;13.8;13.8;2.2;64.5;elevada;alta;elevada;elevada
Panama;Central America and Caribbean;2004;No;20;23.5;4.97;95;89;92;95;26;0.4;7427;3.27;2.2;2.1;8.9;75.7;alta;elevada;alta;alta
Guinea;Africa;2007;No;79.4;126.6;0.19;57;64;46;63;22.4;1.03;684;9.52;8.9;8.8;1.6;54.9;moderada;moderada;baixa;moderada
Kuwait;Middle East;2015;No;7.5;8.8;0;99;96;99;99;29.5;0.13;29870;3.84;3.5;3.4;7.1;75.1;alta;alta;alta;alta
Finland;European Union;2002;Yes;3.3;4.1;9.25;88;92;95;98;25.8;0.08;39351;5.2;0.9;0.8;9.5;78.1;elevada;alta;alta;alta
Croatia;European Union;2007;Yes;5.3;6.2;11.36;95;98;96;96;26.3;0.02;12550;4.31;1.8;1.7;10.1;75.7;alta;alta;alta;alta
St, Lucia;Central America and Caribbean;2004;No;15.8;18.3;12.58;91;83;91;91;27.6;0.4;9800;0.16;4.4;4.4;7.4;74;alta;elevada;alta;alta
Burkina Faso;Africa;2001;No;89.3;174.9;5.53;86;31;62;62;21;0.83;456;11.94;11.2;1.8;1.3;50.9;elevada;baixa;moderada;moderada
United States;North America;2009;Yes;6.4;7.5;8.67;92;86;93;95;28.4;0.13;51996;306.77;0.7;0.6;13.2;78.4;alta;elevada;alta;alta
Cabo Verde;Africa;2010;No;22.1;26.3;4.93;98;94;99;99;24.2;0.26;3011;0.49;7.4;7.4;5.1;71.1;alta;alta;alta;alta
Poland;European Union;2004;Yes;6.8;7.8;9.19;98;96;99;99;25.7;0.08;8275;38.18;2.4;2.5;11.6;74.8;alta;alta;alta;alta
Canada;North America;2015;Yes;4.7;5.4;8;55;86;91;91;26.9;0.1;43596;35.7;0.6;0.5;13.1;81.9;moderada;elevada;alta;alta
Ethiopia;Africa;2005;No;69.5;108.9;0.21;52;64;56;44;20.1;0.65;310;76.35;11.5;11.2;1.9;56.2;moderada;moderada;moderada;baixa
Venezuela;South America;2010;No;14.7;17.1;7.4;78;83;74;78;26.6;0.4;13825;28.44;1.6;1.5;8.9;73.1;elevada;elevada;elevada;elevada
Namibia;Africa;2014;No;34;47.9;2.59;88;64;88;88;24.1;4.5;4782;2.27;8.6;8.5;6.7;61.4;elevada;moderada;elevada;elevada
Ukraine;Rest of Europe;2010;No;10.1;11.7;7.77;48;41;57;52;26.3;0.28;2315;45.87;2.4;2.5;11.3;70.3;baixa;baixa;moderada;moderada
Equatorial Guinea;Africa;2009;No;81.7;115.3;7.2;46;64;59;43;23.4;4.39;15906;0.9;9.2;9.2;5.5;55.3;baixa;moderada;moderada;baixa
Mongolia;Asia;2010;No;22.1;26.3;7.73;96;95;96;96;25.4;0.02;2630;2.72;2.2;2.3;9.5;67.4;alta;alta;alta;alta
United States;North America;2001;Yes;7;8.3;8.25;89;86;89;94;27.7;0.13;48727;284.97;0.8;0.6;12.7;76.8;elevada;elevada;elevada;alta
Belarus;Rest of Europe;2002;No;8.5;10.9;11.78;99;98;99;99;25.8;0.08;2912;9.87;2.5;2.7;9.1;68.1;alta;alta;alta;alta
Myanmar;Asia;2011;No;47;61;1.09;40;80;90;84;22.2;0.32;963;50.99;13;13.3;4.3;64;baixa;elevada;alta;elevada
Grenada;Central America and Caribbean;2015;No;14.3;16.2;8.2;92;89;99;92;26.9;0.4;9097;0.11;3.8;3.8;8.7;72.4;alta;elevada;alta;alta
Nigeria;Africa;2002;No;103.8;171.5;11.09;29;64;40;25;22.5;1.21;1685;128.6;13.8;13.8;5.2;46.8;baixa;moderada;baixa;baixa
China;Asia;2007;No;16.2;20.1;3.89;92;92;94;93;22.9;0.1;4319;1317.89;4.7;4.1;7;73.6;alta;alta;alta;alta
Venezuela;South America;2011;No;14.7;17.2;6.88;78;83;78;78;26.6;0.4;10956;28.89;1.6;1.5;9.8;73.1;elevada;elevada;elevada;elevada
Antigua and Barbuda;Central America and Caribbean;2009;No;8.7;10.6;7.64;98;94;98;99;26;0.1;15402;0.09;3.4;3.3;9.3;75.7;alta;alta;alta;alta
Timor-Leste;Oceania;2008;No;56;67.7;0.062;79;64;79;79;20.5;0.07;1020;1.06;11.7;11.7;4;66.3;elevada;moderada;elevada;elevada
Afghanistan;Asia;2006;No;74.6;104.1;0.026;64;18;58;58;22.3;0.02;354;26.43;19.2;19.3;2.7;58.8;moderada;baixa;moderada;moderada
Peru;South America;2009;No;16.2;20.8;5.04;93;42;92;93;25.9;0.16;4819;28.79;1.2;1.2;8.4;74.1;alta;baixa;alta;alta
Guyana;South America;2011;No;30;36.7;5.64;93;84;93;93;25.9;0.62;5089;0.75;5.6;5.3;8.2;68.3;alta;elevada;alta;alta
Senegal;Africa;2010;No;42.4;65.7;0.18;89;33;76;89;22.7;0.19;1150;12.68;1.4;1.3;2.4;64.3;elevada;baixa;elevada;elevada
Egypt Arab Rep;Africa;2011;No;23.1;27.5;0.19;96;64;96;96;28.9;0.13;3473;84.53;2.9;2.9;6.7;70.5;alta;moderada;alta;alta
Angola;Africa;2001;No;118.2;198.4;1.94;67;64;28;38;21.8;1.36;1847;16.95;1.7;1.7;4.4;47.1;moderada;moderada;baixa;baixa
Italy;European Union;2014;Yes;3;3.6;7.56;95;83;95;95;25.6;0.07;29980;60.79;0.6;0.6;10.1;83.1;alta;elevada;alta;alta
Slovak Republic;European Union;2011;Yes;5.6;6.8;10.27;99;97;99;99;26.1;0.01;14890;5.4;1.2;1.3;12.1;76;alta;alta;alta;alta
Algeria;Africa;2013;No;22.1;25.8;0.5;95;93;95;95;25.3;0.03;4043;38.14;5.9;5.8;7.8;75.7;alta;alta;alta;alta
United Kingdom;Rest of Europe;2005;Yes;5.1;6;11.38;88;86;91;91;26.7;0.08;43137;60.4;0.7;0.5;12.2;79;elevada;elevada;alta;alta
El Salvador;Central America and Caribbean;2003;No;23.5;28.1;2.91;94;77;93;94;26.4;0.35;3060;5.99;2;1.9;5.7;69.7;alta;elevada;alta;alta
Cameroon;Africa;2009;No;71.1;114.3;5.72;80;64;79;80;23.9;2.13;1247;19.79;6.3;6.3;5.2;54.6;elevada;moderada;elevada;elevada
Albania;Rest of Europe;2015;No;8.5;9.6;4.33;99;98;99;99;26.6;0.03;3953;2.88;1.2;1.3;9.7;78;alta;alta;alta;alta
Cameroon;Africa;2014;No;59.5;92.4;4.7;87;64;84;87;24.2;1.24;1344;22.68;5.7;5.7;6;57.1;elevada;moderada;elevada;elevada
Lesotho;Africa;2015;No;72.6;94.6;3.07;93;82;85;93;24.9;10;1146;2.06;5.5;5.3;6.1;51;alta;elevada;elevada;alta
Rwanda;Africa;2004;No;72.8;118.6;7.83;89;87;89;89;21.2;2.27;425;8.68;6.9;7.1;2.7;53.6;elevada;elevada;elevada;elevada
Switzerland;Rest of Europe;2005;Yes;4.3;5.1;10.15;88;71;94;94;25;0.08;76785;7.44;0.6;0.4;12;81.2;elevada;elevada;alta;alta
Mozambique;Africa;2010;No;72.5;104.9;0.79;74;64;73;74;22.3;3.5;480;23.53;3.7;3.6;3.2;52.3;elevada;moderada;elevada;elevada
Cambodia;Asia;2002;No;67.3;86.7;0.75;84;48;54;54;20.8;0.51;539;12.64;11.6;11.8;3.3;60.3;elevada;baixa;moderada;moderada
Liberia;Africa;2006;No;85.3;121;4.06;58;64;66;60;23.5;3.5;578;3.33;8.1;8.1;3.8;56.4;moderada;moderada;moderada;moderada
Suriname;South America;2003;No;24.9;28.2;4.7;84;16;74;75;25.6;0.96;6816;0.49;3.5;3.5;7.7;68.3;elevada;baixa;elevada;elevada
Namibia;Africa;2001;No;44.2;75.3;2.29;83;64;79;78;23;11.07;3111;1.82;15.2;15.4;5.8;51.4;elevada;moderada;elevada;elevada
Uganda;Africa;2013;No;42.4;62.3;8.12;78;64;78;78;22.2;2.45;821;35.69;5.7;5.7;5.4;59.9;elevada;moderada;elevada;elevada
Nepal;Asia;2008;No;40.1;50.8;0.2;82;65;82;82;21.6;0.17;675;26.67;17;17.6;3.1;66.7;elevada;moderada;elevada;elevada
Saudi Arabia;Middle East;2015;No;7.8;9.1;0;98;96;97;98;28.4;0.13;20628;31.72;7.8;7.6;9.5;74.7;alta;alta;alta;alta
India;Asia;2015;No;34.9;43.5;3;87;69;86;87;21.7;0.06;1606;1310.15;26.7;27.3;6.3;68.6;elevada;moderada;elevada;elevada
Czechia;European Union;2012;Yes;2.6;3.2;12.83;99;99;99;99;26.9;0.08;16607;10.51;1.8;1.9;12.4;78.1;alta;alta;alta;alta
Luxembourg;European Union;2002;Yes;3.3;4;12.88;95;86;99;99;25.7;0.07;96270;0.45;1;0.9;10.7;78;alta;elevada;alta;alta
Cameroon;Africa;2010;No;68.6;110.1;5.88;84;64;83;84;24;1.87;1248;20.34;6.1;6.2;5.3;55.1;elevada;moderada;elevada;elevada
Cyprus;European Union;2004;Yes;4.1;4.8;13.03;88;91;98;98;26.5;0.04;24798;1.01;0.9;1;10.5;78.5;elevada;alta;alta;alta
Montenegro;Rest of Europe;2009;No;6.3;7.4;10.17;87;96;91;92;26;0.03;5834;0.62;2;2.1;11;75.1;elevada;alta;alta;alta
Peru;South America;2007;No;18.2;23.4;4.51;93;51;93;93;25.7;0.18;4439;28.33;1.2;1.2;8.1;73.5;alta;moderada;alta;alta
Djibouti;Africa;2002;No;76.5;96.1;1.11;88;82;62;62;23.6;1.78;791;0.75;6.2;6;3.4;57.2;elevada;elevada;moderada;moderada
Colombia;South America;2013;No;14.3;16.6;4.32;91;72;91;91;26;0.2;5867;46.5;2.1;1.9;7.8;76.1;alta;elevada;alta;alta
Indonesia;Asia;2012;No;25.9;31.2;0.08;83;78;87;83;22.7;0.2;2981;248.45;1.5;1.4;7.6;69.9;elevada;elevada;elevada;elevada
South Africa;Africa;2004;No;49.4;77.7;7.2;76;51;73;74;26.5;11.64;5374;47.29;12.6;15;8.8;53.4;elevada;moderada;elevada;elevada
Lithuania;European Union;2015;Yes;4;4.9;14.2;94;92;93;93;26.4;0.09;14264;2.9;2.6;2.6;13;74.3;alta;alta;alta;alta
Czechia;European Union;2004;Yes;3.7;4.6;13.42;98;98;96;98;26.6;0.08;14070;10.2;2.1;2.2;11.6;75.7;alta;alta;alta;alta
Italy;European Union;2008;Yes;3.5;4.1;7.96;96;83;96;96;25.7;0.08;33530;58.83;0.5;0.5;9.5;81.5;alta;elevada;alta;alta
New Zealand;Oceania;2011;Yes;5;6;9.45;95;86;95;95;27.7;0.04;35916;4.38;0.3;0.3;12;80.9;alta;elevada;alta;alta
Nigeria;Africa;2010;No;84.3;135.5;5.22;49;64;54;54;23;0.75;2404;158.5;11.3;11.2;5.2;50.9;baixa;moderada;moderada;moderada
Thailand;Asia;2010;No;11.7;13.6;6.19;98;91;99;99;23.8;0.23;5164;67.2;8.2;8.3;7.7;74.2;alta;alta;alta;alta
Bulgaria;European Union;2008;Yes;9.5;11.4;10.73;96;94;96;95;25.8;0.03;6460;7.49;2.1;2.1;10.5;73;alta;alta;alta;alta
Central African Republic;Africa;2004;No;106.9;162.5;1.6;45;64;45;51;21.9;3.09;459;3.96;9.9;9.9;3.2;44.4;baixa;moderada;baixa;moderada
Honduras;Central America and Caribbean;2001;No;29;35.3;2.61;95;83;99;96;24.9;0.43;1791;6.75;2.7;2.7;4.4;71;alta;elevada;alta;alta
Haiti;Central America and Caribbean;2008;No;61.3;83.2;3.49;60;83;64;63;24.3;0.95;1339;9.65;4.2;4.2;4.6;59.8;moderada;elevada;moderada;moderada
Austria;European Union;2013;Yes;3.2;3.9;12.1;95;82;95;95;25.5;0.08;44299;8.48;1.8;2;11.9;81.1;alta;elevada;alta;alta
Dominican Republic;Central America and Caribbean;2000;No;32.4;40;6.72;68;83;71;78;24.9;1.02;4209;8.47;3.8;3.7;6.4;69.4;moderada;elevada;elevada;elevada
Djibouti;Africa;2003;No;74.7;93.6;0.52;88;82;68;68;23.6;1.16;819;0.76;6.1;5.9;3.5;57.4;elevada;elevada;moderada;moderada
Rwanda;Africa;2001;No;100;167.4;9.27;91;87;76;77;21;2.9;361;8.23;7.4;7.5;2.4;49.9;alta;elevada;elevada;elevada
Ghana;Africa;2013;No;41.8;59.8;1.78;90;54;91;90;23.8;0.88;1768;26.61;6.6;6.4;6.9;62.1;alta;moderada;alta;alta
Malta;European Union;2005;Yes;6.1;7;6.14;85;60;94;92;27.1;0.08;18134;0.4;0.7;0.7;9.8;79.3;elevada;moderada;alta;alta
Chile;South America;2003;No;8.1;9.5;6.37;94;96;96;96;26.9;0.14;9233;15.85;1;1;9.4;77.1;alta;alta;alta;alta
Saudi Arabia;Middle East;2013;No;8.8;10.2;0;98;99;98;98;28.3;0.13;20176;30.05;7.6;7.5;9.5;74.4;alta;alta;alta;alta
Colombia;South America;2014;No;13.8;16;4.22;90;88;90;90;26;0.19;6069;46.97;2.1;1.9;8;76.3;alta;elevada;alta;alta
St Vincent and the Grenadines;Central America and Caribbean;2007;No;18.7;21.1;6.2;99;83;99;99;26.3;0.4;7154;0.11;3.6;3.6;8.1;71.6;alta;elevada;alta;alta
Namibia;Africa;2003;No;43.3;74.4;2.29;83;64;82;79;23.2;9.74;3298;1.88;14.2;14.3;5.8;50.6;elevada;moderada;elevada;elevada
Togo;Africa;2003;No;69.9;109.5;0.89;81;64;72;72;22.4;2.13;522;5.33;8.8;8.7;4.1;53.9;elevada;moderada;elevada;elevada
Yemen Rep;Middle East;2014;No;45.4;58.7;0.03;73;95;67;73;23.6;0.03;2283;25.82;13.7;13.5;3;66.1;elevada;alta;moderada;elevada
Bosnia and Herzegovina;Rest of Europe;2012;No;5.8;6.7;4.83;92;94;87;92;25.5;0.08;4216;3.6;2.5;2.5;8.3;76.4;alta;alta;elevada;alta
St, Lucia;Central America and Caribbean;2014;No;19;21.4;9.18;99;83;99;99;29.6;0.4;10280;0.18;4.3;4.3;8.7;75.4;alta;elevada;alta;alta
Maldives;Asia;2002;No;25.5;30.7;1.82;98;69;98;98;23.4;0.17;6832;0.29;14.6;14.7;3.2;71.7;alta;moderada;alta;alta
Armenia;Rest of Europe;2013;No;14;15.6;3.92;95;97;96;95;26.2;0.08;3407;2.9;2.1;2.1;11.4;74.1;alta;alta;alta;alta
Uganda;Africa;2005;No;65.6;107.1;11.3;64;64;59;64;21.6;3.78;610;27.68;6.5;6.5;4.4;51.7;moderada;moderada;moderada;moderada
Cyprus;European Union;2009;Yes;3;3.5;10.81;96;88;99;99;26.7;0.05;26182;1.1;0.9;1;11.3;79.2;alta;elevada;alta;alta
Afghanistan;Asia;2002;No;85.3;121.1;0.02;64;14;36;36;21.9;0.02;320;22.6;19.9;2.2;2.3;56.8;moderada;baixa;baixa;baixa
Tonga;Oceania;2008;No;11.8;13.7;1.1;84;98;99;86;31.7;0.17;3967;0.1;0.1;0.1;10.1;69.9;elevada;alta;alta;elevada
Zimbabwe;Africa;2003;No;50.4;91.6;1.96;70;64;70;68;23.4;10.27;1291;11.98;9.8;9.9;6.8;43.2;elevada;moderada;elevada;moderada
Luxembourg;European Union;2000;Yes;3.7;4.5;13.21;77;86;99;99;25.6;0.06;92528;0.44;1;1;10.3;77.9;elevada;elevada;alta;alta
Antigua and Barbuda;Central America and Caribbean;2010;No;8.3;10;7.16;98;92;99;98;26.1;0.1;13987;0.09;3.3;3.3;9.2;75.8;alta;alta;alta;alta
Burkina Faso;Africa;2004;No;83.3;159.5;5.51;86;31;83;79;21.3;0.63;491;13.03;1.5;1.1;1.3;52.6;elevada;baixa;elevada;elevada
St, Lucia;Central America and Caribbean;2006;No;16.1;18.6;13.02;85;83;85;85;28;0.4;10141;0.17;4.3;4.4;7.6;74.3;elevada;elevada;elevada;elevada
Solomon Islands;Oceania;2006;No;24.1;28.9;1.01;99;65;99;99;25.4;0.17;1871;0.48;1.3;1.3;4.9;69.5;alta;moderada;alta;alta
Turkmenistan;Asia;2015;No;36.4;42.2;3.36;99;99;99;99;26.4;0.08;6433;5.57;3.3;3.3;9.8;67.7;alta;alta;alta;alta
Qatar;Middle East;2005;No;8.9;10.4;1.08;97;98;98;97;28;0.05;57624;0.87;4.8;4.5;8.8;78.3;alta;alta;alta;alta
Nigeria;Africa;2005;No;95;155;11.24;18;64;45;36;22.7;1.05;1948;138.87;12.9;12.9;5.2;48.3;baixa;moderada;baixa;baixa
Kenya;Africa;2009;No;40.4;59.9;1.17;88;28;89;88;22.8;2.21;1261;40.9;8.2;8.1;6.1;59.9;elevada;baixa;elevada;elevada
Lesotho;Africa;2008;No;77.1;113;2.91;88;80;86;88;24.5;14.53;962;1.99;8;7.8;5.4;43.4;elevada;elevada;elevada;elevada
Indonesia;Asia;2004;No;37.1;49.6;0.054;64;29;79;71;22;0.2;2109;223.29;1.9;1.9;7.3;67;moderada;baixa;elevada;elevada
Vietnam;Asia;2002;No;21.7;27.4;0.82;89;65;92;75;20.1;0.26;1295;81.53;15.6;16.3;5.8;73.4;elevada;moderada;alta;elevada
Bahrain;Middle East;2003;No;9.7;11.3;2.04;98;99;97;97;25.4;0.05;22336;0.78;6.1;5.9;8.4;75;alta;alta;alta;alta
Paraguay;South America;2003;No;26.2;31.6;4.49;86;55;86;86;25.3;0.17;3816;5.63;2.4;2.3;7;71.2;elevada;moderada;elevada;elevada
Antigua and Barbuda;Central America and Caribbean;2015;No;6.5;7.8;9.06;99;84;86;99;26.6;0.2;14285;0.09;3.3;3.3;9.2;76.5;alta;elevada;elevada;alta
Burundi;Africa;2000;No;94.7;154.5;7.17;87;57;71;80;20.6;1.55;307;6.38;9;8.9;1.8;49.1;elevada;moderada;elevada;elevada
Fiji;Oceania;2006;No;19.9;23.4;2.07;99;94;98;98;26.8;0.05;4620;0.83;4.1;3.8;9.3;66.4;alta;alta;alta;alta
Malawi;Africa;2015;No;36.7;53.3;2.04;88;64;88;88;22.8;2.59;381;16.75;6.4;6.2;4.4;62;elevada;moderada;elevada;elevada
Guinea;Africa;2005;No;83.9;134.7;0.2;57;64;59;59;22.2;1.15;661;9.11;9.3;9.3;1.6;53.2;moderada;moderada;moderada;moderada
Comoros;Africa;2014;No;55.8;74.7;0.13;88;64;87;87;24.2;0.01;1258;0.76;6.8;6.6;4.8;63.2;elevada;moderada;elevada;elevada
Rwanda;Africa;2013;No;37.1;52;6.15;98;87;98;98;21.9;0.75;683;10.81;5.9;5.9;3.8;66.2;alta;elevada;alta;alta
Antigua and Barbuda;Central America and Caribbean;2011;No;7.9;9.5;7.24;99;89;99;99;26.2;0.1;13525;0.09;3.3;3.3;9.2;76;alta;elevada;alta;alta
Turkmenistan;Asia;2007;No;40.6;47.4;2.23;98;98;98;98;25.4;0.08;3353;4.87;3.3;3.3;9.9;65.7;alta;alta;alta;alta
Vanuatu;Oceania;2008;No;24.1;28.8;1.17;61;65;70;67;25.8;0.17;2877;0.22;1.5;1.5;6.6;68.8;moderada;moderada;elevada;moderada
United Kingdom;Rest of Europe;2008;Yes;4.8;5.6;10.66;88;86;92;92;26.9;0.08;44121;61.81;0.8;0.5;12.8;79.6;elevada;elevada;alta;alta
Kyrgyz Republic;Asia;2008;No;29.6;33.7;7.29;97;65;95;95;25.6;0.21;966;5.32;3.3;3.4;10.3;68.5;alta;moderada;alta;alta
Italy;European Union;2013;Yes;3.1;3.7;7.35;96;84;96;96;25.6;0.07;30258;60.23;0.5;0.6;10.3;82.7;alta;elevada;alta;alta
Czechia;European Union;2014;Yes;2.5;3.1;12.75;99;96;99;97;27;0.08;16951;10.53;1.8;1.9;12.8;78.8;alta;alta;alta;alta
St Vincent and the Grenadines;Central America and Caribbean;2014;No;15.7;17.4;7.12;98;83;97;98;27;0.4;7029;0.11;3.5;3.4;8.6;72;alta;elevada;alta;alta
Tanzania;Africa;2001;No;74.4;121.9;6.25;93;64;65;87;22.2;4.25;587;34.39;8.2;8.1;4.3;51.4;alta;moderada;moderada;elevada
Morocco;Africa;2001;No;42.3;50.1;0.45;84;91;93;96;24.7;0.06;1870;29.13;6.7;6.5;3.5;69.2;elevada;alta;alta;alta
Estonia;European Union;2009;Yes;4;5;14.66;95;96;95;95;26.1;0.08;14205;1.33;2;2;12.4;74.8;alta;alta;alta;alta
El Salvador;Central America and Caribbean;2011;No;15.8;18.5;2.31;89;81;90;89;27.2;0.21;3447;6.21;1.7;1.6;6.5;71.4;elevada;elevada;alta;elevada
Moldova;Rest of Europe;2010;No;14.7;17.1;6.92;98;92;97;90;26.6;0.42;2255;2.86;2.8;3;11.1;69.6;alta;alta;alta;alta
Myanmar;Asia;2015;No;41;52.2;1.47;89;78;89;89;22.6;0.28;1197;52.68;12.8;13;4.9;65.8;elevada;elevada;elevada;elevada
Nepal;Asia;2013;No;32;39.4;0.28;92;65;92;92;22.1;0.17;821;26.92;16.1;16.5;4.2;68.8;alta;moderada;alta;alta
Tanzania;Africa;2010;No;47.1;71.9;6.95;91;64;94;91;22.8;2.48;808;44.35;7.1;7.1;5.1;58.6;alta;moderada;alta;alta
Belarus;Rest of Europe;2010;No;4.3;5.6;14.43;96;99;99;98;26.3;0.22;5622;9.48;2;2.2;12;70.4;alta;alta;alta;alta
Jamaica;Central America and Caribbean;2000;No;18.9;22.2;3.77;98;96;95;93;25.5;0.87;4841;2.65;2;1.9;7.3;74.1;alta;alta;alta;alta
Rwanda;Africa;2006;No;59.3;93.9;8.79;99;87;99;99;21.4;1.86;488;9.04;6.8;6.8;2.9;57.1;alta;elevada;alta;alta
Tajikistan;Asia;2003;No;54.2;65.2;0.74;58;94;82;85;24.4;0.02;556;6.54;4;4;10.6;64.5;moderada;alta;elevada;elevada
Tonga;Oceania;2011;No;11.1;12.9;0.93;82;99;99;82;31.9;0.17;4043;0.1;0.1;0.1;10.9;70.1;elevada;alta;alta;elevada
Congo Rep;Africa;2013;No;39.7;56.2;1.9;85;64;85;85;23;2.08;2499;4.62;7.7;7.4;6.3;62;elevada;moderada;elevada;elevada
Myanmar;Asia;2014;No;42.3;54.1;1.36;88;82;88;88;22.5;0.29;1168;52.28;12.9;13.1;4.8;65.4;elevada;elevada;elevada;elevada
Micronesia Fed Sts;Oceania;2002;No;29.4;35.9;2.79;85;65;84;84;28.9;0.17;2984;0.11;0.2;0.2;5.3;64.9;elevada;moderada;elevada;elevada
Seychelles;Africa;2015;No;12.7;14.8;8.7;98;98;97;97;26.6;3.5;15158;0.09;5.7;6;9.5;74.3;alta;alta;alta;alta
Bhutan;Asia;2011;No;32.4;40;0.25;95;95;95;95;23.4;0.14;2387;0.69;16.3;17;2.3;68.8;alta;alta;alta;alta
Solomon Islands;Oceania;2010;No;22.2;26.4;1.09;87;65;84;90;25.8;0.17;2099;0.53;1.2;1.2;5.1;70.7;elevada;moderada;elevada;alta
Senegal;Africa;2002;No;62.3;115.1;0.22;87;33;60;60;22.3;0.64;1061;10.28;12;11.9;2.4;58.7;elevada;baixa;moderada;moderada
Thailand;Asia;2001;No;17.8;20.9;5.84;95;86;97;96;23;0.6;3605;63.54;9.3;9.6;6.3;70.8;alta;elevada;alta;alta
Netherlands;European Union;2015;Yes;3.4;4;8.3;94;92;95;95;25.5;0.04;45193;16.94;1;0.9;12.1;81.5;alta;alta;alta;alta
Portugal;European Union;2014;Yes;3;3.6;10.2;98;96;98;98;25.7;0.13;18833;10.4;0.7;0.5;8.9;81.1;alta;alta;alta;alta
Yemen Rep;Middle East;2004;No;57.3;76.9;0.06;43;95;72;72;22.7;0.02;2472;19.54;13.9;13.9;1.7;62.9;baixa;alta;elevada;elevada
Suriname;South America;2014;No;18.6;20.9;5.39;85;15;76;85;26.4;0.51;9593;0.55;3.5;3.5;8.2;71.1;elevada;baixa;elevada;elevada
Guinea-Bissau;Africa;2011;No;69.6;109.1;3.19;86;64;85;86;23.1;2.22;617;1.56;7.8;7.7;2.7;55.1;elevada;moderada;elevada;elevada
Zambia;Africa;2008;No;54.5;88.7;2.66;87;39;90;87;22;6.29;1068;12.85;6.8;6.7;6.5;52.6;elevada;baixa;alta;elevada
